year,title,hours,minutes,seconds,total_seconds,time_stamp
2010,Aliens vs Predator,00,38,49,2329,00:38:49
2010,Heavy Rain,00,43,26,2606,00:43:26
2010,Battlefield: Bad Company 2,00,47,53,2873,00:47:53
2010,Final Fantasy XIII,00,52,18,3138,00:52:18
2010,God Of War III,00,57,00,3420,00:57:00
2010,Redsteel 2,01,01,33,3693,01:01:33
2010,Just Cause 2,01,05,45,3945,01:05:45
2010,Silent Hill: Shattered Memories,01,10,28,4228,01:10:28
2010,Splinter Cell: Conviction,01,14,50,4490,01:14:50
2010,Nier,01,19,10,4750,01:19:10
2010,Dead To Rights: Retribution,01,23,45,5025,01:23:45
2010,Monster Hunter 3,01,28,16,5296,01:28:16
2010,Alan Wake,01,32,42,5562,01:32:42
2010,Red Dead Redemption,01,37,16,5836,01:37:16
2010,Alpha Protocol,01,42,02,6122,01:42:02
2010,Prince of Persia: The Forgotten Sands,01,46,34,6394,01:46:34
2010,E3 2010,01,51,06,6666,01:51:06
2010,No More Heroes 2: Desperate Struggle,01,55,37,6937,01:55:37
2010,Super Mario Galaxy 2,01,59,57,7197,01:59:57
2010,Singularity,02,04,53,7493,02:04:53
2010,Crackdown 2,02,09,14,7754,02:09:14
2010,Deathspank and Limbo,02,13,31,8011,02:13:31
2010,Shadow Of The Colossus,02,17,48,8268,02:17:48
2010,Split/Second: Velocity,02,22,10,8530,02:22:10
2010,Transformers: War For Cybertron,02,26,31,8791,02:26:31
2010,Metroid: Other M,02,30,40,9040,02:30:40
2010,Kane & Lynch 2: Dog Days,02,30,51,9051,02:30:51
2010,Mafia II,02,35,29,9329,02:35:29
2010,Amnesia: The Dark Descent,02,44,04,9844,02:44:04
2010,Halo: Reach,02,48,10,10090,02:48:10
2010,Dead Rising 2,02,52,23,10343,02:52:23
2010,Spider-Man: Shattered Dimensions,02,56,39,10599,02:56:39
2010,Castlevania: Lords Of Shadow,03,01,00,10860,03:01:00
2010,Enslaved: Odyssey To The West,03,05,22,11122,03:05:22
2010,Fallout: New Vegas,03,09,59,11399,03:09:59
2010,Star Wars: The Force Unleashed II,03,14,48,11688,03:14:48
2010,Call of Duty: Black Ops,03,19,18,11958,03:19:18
2010,Mobile Games,03,23,52,12232,03:23:52
2010,Assassin's Creed: Brotherhood,03,28,38,12518,03:28:38
2010,Splatterhouse,03,33,22,12802,03:33:22
2010,Epic Mickey,03,38,09,13089,03:38:09
2011,Yahtzee’s Top & Bottom 5 of 2010,00,00,00,0,00:00:00
2011,World Of Warcraft: Cataclysm,00,05,30,330,00:05:30
2011,Fable 3,00,10,05,605,00:10:05
2011,Minecraft,00,14,59,899,00:14:59
2011,A Shadow’s Tale,00,19,40,1180,00:19:40
2011,Dead Space 2,00,24,16,1456,00:24:16
2011,DC Universe Online,00,29,06,1746,00:29:06
2011,MindJack,00,34,03,2043,00:34:03
2011,Two Worlds II,00,38,58,2338,00:38:58
2011,Bulletstorm,00,43,41,2621,00:43:41
2011,Killzone 3,00,48,30,2910,00:48:30
2011,Kirby’s Epic Yarn,00,53,25,3205,00:53:25
2011,Dragon Age II,00,58,11,3491,00:58:11
2011,Pokémon White,01,02,47,3767,01:02:47
2011,Yakuza 4,01,07,44,4064,01:07:44
2011,Crysis 2,01,12,25,4345,01:12:25
2011,Nintendo 3DS,01,16,52,4612,01:16:52
2011,Portal 2,01,21,29,4889,01:21:29
2011,Castlevania: Symphony Of The Night,01,26,07,5167,01:26:07
2011,Mortal Kombat 9,01,30,34,5434,01:30:34
2011,Brink,01,35,26,5726,01:35:26
2011,L.A. Noire,01,40,02,6002,01:40:02
2011,The Witcher 2: Assassins of Kings,01,44,41,6281,01:44:41
2011,Hunted: The Demon’s Forge,01,49,22,6562,01:49:22
2011,Duke Nukem Forever,01,54,07,6847,01:54:07
2011,Infamous 2,01,58,41,7121,01:58:41
2011,Alice: Madness Returns,02,03,29,7409,02:03:29
2011,Shadows Of The Damned,02,07,59,7679,02:07:59
2011,Fear 3,02,12,54,7974,02:12:54
2011,The Legend Of Zelda: Ocarina Of Time 3D,02,17,52,8272,02:17:52
2011,Call Of Juarez: The Cartel,02,22,48,8568,02:22:48
2011,Bastion,02,27,38,8858,02:27:38
2011,From Dust,02,29,56,8996,02:29:56
2011,Catherine,02,32,16,9136,02:32:16
2011,Red Faction Armageddon,02,36,52,9412,02:36:52
2011,Deus Ex,02,41,42,9702,02:41:42
2011,Deus Ex: Human Revolution,02,45,46,9946,02:45:46
2011,Driver: San Francisco,02,46,27,9987,02:46:27
2011,Dead Island,02,51,07,10267,02:51:07
2011,Resistance 3,02,55,46,10546,02:55:46
2011,Gears Of War 3,03,00,23,10823,03:00:23
2011,Hard Reset,03,05,19,11119,03:05:19
2011,Rage,03,09,56,11396,03:09:56
2011,Kinect,03,14,45,11685,03:14:45
2011,Batman: Arkham City,03,19,26,11966,03:19:26
2011,Battlefield 3,03,24,07,12247,03:24:07
2011,Uncharted 3: Drake’s Deception,03,28,42,12522,03:28:42
2011,Call Of Duty: Modern Warfare 3,03,33,33,12813,03:33:33
2011,The Elder Scrolls V: Skyrim,03,38,34,13114,03:38:34
2011,Saints Row: The Third,03,43,34,13414,03:43:34
2011,Assassin’s Creed: Revelations,03,48,31,13711,03:48:31
2011,The Legend of Zelda: Skyward Sword,03,53,27,14007,03:53:27
2012,Serious Sam 3: BFE,00,00,00,0,00:00:00
2012,Yahtzee’s 2011 Best & Worst,00,04,56,296,00:04:56
2012,Super Mario 3D Land [&] Rayman Origins,00,09,55,595,00:09:55
2012,Sonic Generations,00,14,40,880,00:14:40
2012,Star Wars: The Old Republic,00,19,35,1175,00:19:35
2012,Amy,00,24,19,1459,00:24:19
2012,Resident Evil: Revelations,00,29,09,1749,00:29:09
2012,The Darkness II,00,33,42,2022,00:33:42
2012,Kingdoms of Amalur: Reckoning,00,38,20,2300,00:38:20
2012,NeverDead,00,43,07,2587,00:43:07
2012,Syndicate (2012),00,48,03,2883,00:48:03
2012,Mass Effect 3,00,52,56,3176,00:52:56
2012,Twisted Metal (2012),00,57,38,3458,00:57:38
2012,Yakuza: Dead Souls,01,02,32,3752,01:02:32
2012,Ninja Gaiden 3,01,07,37,4057,01:07:37
2012,Silent Hill: Downpour,01,12,46,4366,01:12:46
2012,Kid Icarus: Uprising,01,17,40,4660,01:17:40
2012,Fez / I Am Alive,01,22,32,4952,01:22:32
2012,Prototype 2,01,27,21,5241,01:27:21
2012,Risen 2: Dark Waters,01,32,07,5527,01:32:07
2012,Black Mesa Radio w/ MC Croshaw,01,36,55,5815,01:36:55
2012,Sniper Elite V2,01,38,30,5910,01:38:30
2012,Diablo III,01,43,20,6200,01:43:20
2012,Max Payne 3,01,48,11,6491,01:48:11
2012,Dragon’s Dogma,01,53,12,6792,01:53:12
2012,E3 2012,01,58,10,7090,01:58:10
2012,Lollipop Chainsaw,02,02,59,7379,02:02:59
2012,Quantum Conundrum,02,08,13,7693,02:08:13
2012,Spec Ops: The Line,02,13,04,7984,02:13:04
2012,The Walking Dead,02,18,09,8289,02:18:09
2012,Inversion,02,23,11,8591,02:23:11
2012,The Amazing Spider-Man,02,28,11,8891,02:28:11
2012,Half-Life,02,33,01,9181,02:33:01
2012,Wreckateer / Deadlight,02,37,49,9469,02:37:49
2012,Steam Roundup: Unmechanical [&] Orcs Must Die! 2 [&] The Book of Unwritten Tales,02,42,29,9749,02:42:29
2012,Sleeping Dogs,02,47,36,10056,02:47:36
2012,Darksiders II,02,52,15,10335,02:52:15
2012,DayZ,02,57,03,10623,02:57:03
2012,Guild Wars 2,03,02,11,10931,03:02:11
2012,Borderlands 2,03,07,03,11223,03:07:03
2012,FIFA 13,03,11,54,11514,03:11:54
2012,Resident Evil 6,03,16,47,11807,03:16:47
2012,Dishonored,03,21,50,12110,03:21:50
2012,XCOM: Enemy Unknown,03,26,39,12399,03:26:39
2012,Medal of Honor: Warfighter / Doom 3: BFG Edition,03,31,14,12674,03:31:14
2012,Assassin’s Creed III,03,36,15,12975,03:36:15
2012,Halo 4,03,40,53,13253,03:40:53
2012,Call of Duty: Black Ops II,03,45,28,13528,03:45:28
2012,Hitman: Absolution,03,50,25,13825,03:50:25
2012,Far Cry 3,03,54,56,14096,03:54:56
2012,ZombiU,03,59,44,14384,03:59:44
2013,Top and Bottom Five,00,00,05,5,00:00:05
2013,Paper Mario Sticker Star,00,05,43,343,00:05:43
2013,Black Knight Sword [&] Hotline Miami,00,10,37,637,00:10:37
2013,Anarchy Reigns,00,15,39,939,00:15:39
2013,DmC Devil May Cry,00,20,21,1221,00:20:21
2013,The Cave,00,25,15,1515,00:25:15
