graphics_card,cpu,benchmark,resolution,FPS
Arc A770,Ryzen 5600G OC,Metro Redux 2033,2160,42
Arc A770,Ryzen 5800X3D,Metro Redux 2033,1080,NA
Arc A770,Ryzen 5800X3D,Metro Redux 2033,1440,NA
Arc A770,Ryzen 5800X3D,Metro Redux 2033,2160,NA
GTX 1080 Ti,Ryzen 5600G OC,Metro Redux 2033,1080,101
GTX 1080 Ti,Ryzen 5600G OC,Metro Redux 2033,1440,62
GTX 1080 Ti,Ryzen 5600G OC,Metro Redux 2033,2160,28
GTX 1080 Ti,Ryzen 5800X3D,Metro Redux 2033,1080,102
GTX 1080 Ti,Ryzen 5800X3D,Metro Redux 2033,1440,62
GTX 1080 Ti,Ryzen 5800X3D,Metro Redux 2033,2160,28
Arc A770,Ryzen 5600G OC,Rise of the Tomb Raider,1080,133
Arc A770,Ryzen 5600G OC,Rise of the Tomb Raider,1440,95
Arc A770,Ryzen 5600G OC,Rise of the Tomb Raider,2160,53
Arc A770,Ryzen 5800X3D,Rise of the Tomb Raider,1080,132
Arc A770,Ryzen 5800X3D,Rise of the Tomb Raider,1440,95
Arc A770,Ryzen 5800X3D,Rise of the Tomb Raider,2160,52
GTX 1080 Ti,Ryzen 5600G OC,Rise of the Tomb Raider,1080,153
GTX 1080 Ti,Ryzen 5600G OC,Rise of the Tomb Raider,1440,111
GTX 1080 Ti,Ryzen 5600G OC,Rise of the Tomb Raider,2160,60
GTX 1080 Ti,Ryzen 5800X3D,Rise of the Tomb Raider,1080,158
GTX 1080 Ti,Ryzen 5800X3D,Rise of the Tomb Raider,1440,107
GTX 1080 Ti,Ryzen 5800X3D,Rise of the Tomb Raider,2160,57
Arc A770,Ryzen 5600G OC,Shadow of the Tomb Raider,1080,112
Arc A770,Ryzen 5600G OC,Shadow of the Tomb Raider,1440,82
Arc A770,Ryzen 5600G OC,Shadow of the Tomb Raider,2160,44
Arc A770,Ryzen 5800X3D,Shadow of the Tomb Raider,1080,108
Arc A770,Ryzen 5800X3D,Shadow of the Tomb Raider,1440,79
Arc A770,Ryzen 5800X3D,Shadow of the Tomb Raider,2160,44
GTX 1080 Ti,Ryzen 5600G OC,Shadow of the Tomb Raider,1080,109
GTX 1080 Ti,Ryzen 5600G OC,Shadow of the Tomb Raider,1440,75
GTX 1080 Ti,Ryzen 5600G OC,Shadow of the Tomb Raider,2160,39
GTX 1080 Ti,Ryzen 5800X3D,Shadow of the Tomb Raider,1080,111
GTX 1080 Ti,Ryzen 5800X3D,Shadow of the Tomb Raider,1440,76
GTX 1080 Ti,Ryzen 5800X3D,Shadow of the Tomb Raider,2160,40
Arc A770,Ryzen 5600G OC,Thief,1080,73
Arc A770,Ryzen 5600G OC,Thief,1440,73
Arc A770,Ryzen 5600G OC,Thief,2160,63
Arc A770,Ryzen 5800X3D,Thief,1080,90
Arc A770,Ryzen 5800X3D,Thief,1440,87
Arc A770,Ryzen 5800X3D,Thief,2160,68
GTX 1080 Ti,Ryzen 5600G OC,Thief,1080,161
GTX 1080 Ti,Ryzen 5600G OC,Thief,1440,124
GTX 1080 Ti,Ryzen 5600G OC,Thief,2160,72
GTX 1080 Ti,Ryzen 5800X3D,Thief,1080,173
GTX 1080 Ti,Ryzen 5800X3D,Thief,1440,131
GTX 1080 Ti,Ryzen 5800X3D,Thief,2160,73
Arc A770,Ryzen 5600G OC,Wolfenstein Youngblood,1080,222
Arc A770,Ryzen 5600G OC,Wolfenstein Youngblood,1440,152
Arc A770,Ryzen 5600G OC,Wolfenstein Youngblood,2160,87
Arc A770,Ryzen 5800X3D,Wolfenstein Youngblood,1080,218
Arc A770,Ryzen 5800X3D,Wolfenstein Youngblood,1440,154
Arc A770,Ryzen 5800X3D,Wolfenstein Youngblood,2160,89
GTX 1080 Ti,Ryzen 5600G OC,Wolfenstein Youngblood,1080,198
GTX 1080 Ti,Ryzen 5600G OC,Wolfenstein Youngblood,1440,133
GTX 1080 Ti,Ryzen 5600G OC,Wolfenstein Youngblood,2160,77
GTX 1080 Ti,Ryzen 5800X3D,Wolfenstein Youngblood,1080,199
GTX 1080 Ti,Ryzen 5800X3D,Wolfenstein Youngblood,1440,136
GTX 1080 Ti,Ryzen 5800X3D,Wolfenstein Youngblood,2160,78
